t,inf-count-mean,inf-count-std,inf-count-list,radius-mean(um),radius-std(um),radius-list(um),area-mean(um2),area-std(um2),area-list(um2),radial-velocity-mean(um/min),radial-velocity-std(um/min),radial-velocity-list(um/min)
23.33,27.636363636363637,14.37548418156917,"[45, 16, 13, 39, 31, 30, 23, 27, 8, 17, 55]",109.65667174776826,40.79613200021127,"[142.79459775042756, 60.874196390693925, 85.28017915603183, 149.38301183245113, 107.45219412751341, 116.04836341474075, 91.26179003815658, 171.61110532564027, 39.70070014124904, 80.36338615732403, 161.45386489122217]",33676.02842975275,20750.658736702277,"[59478.002787256715, 9792.685243368118, 17318.3315945546, 50380.79853469853, 31544.990863295887, 36133.873043188796, 23206.67991763222, 51748.360696926116, 3468.9256506145293, 17279.09923266448, 70084.56516308023]",0.06302256414104351,0.021817039185653322,"[0.061711603281884464, 0.054480664621085896, 0.051879749027308755, 0.053556243276628626, 0.0523030221804379, 0.06312542307158094, 0.05757344967580601, 0.12066667396467796, 0.03776087093462356, 0.08935277809456948, 0.050837727422875165]"
23.5,28.454545454545453,15.042364417628209,"[46, 16, 12, 41, 31, 32, 23, 28, 8, 19, 57]",116.52290963591022,47.98575673369449,"[135.31869126265025, 61.21722603212844, 56.46505422325414, 156.13854566937417, 106.67955049052732, 112.47881713397379, 91.89164040372297, 179.97113552416843, 40.12664111925462, 158.87325545888703, 182.5914486770714]",37107.78738518524,22677.779372666337,"[52544.42259143668, 9958.119108268773, 9043.141217842021, 58806.51369853141, 31148.797565844427, 36442.33692735168, 23492.125544557864, 61346.204967474514, 3564.57120554053, 47592.25045138212, 74247.17795880759]",0.061614489983412124,0.022830933294071654,"[0.06027925276351191, 0.05395097288705649, 0.055777085343122534, 0.052936999347980684, 0.0470625531974627, 0.06913180867240938, 0.059393446517035486, 0.11594238621671382, 0.023962286334098436, 0.08956063556153006, 0.049761962976611854]"
23.67,29.727272727272727,16.535361556923448,"[48, 19, 12, 42, 32, 32, 23, 28, 8, 19, 64]",127.84213879913194,52.15360253218148,"[184.59718440772468, 76.40355395505524, 56.640079242976334, 154.46527518978297, 162.14882033489675, 112.6937564508812, 92.42663155690636, 179.64667070242027, 41.91981521118412, 145.00295622889195, 200.31878350973147]",44454.08433060636,28435.969615428116,"[96508.39369013907, 13088.198142530233, 9084.105331574554, 59712.366736131764, 63123.345311016834, 36664.999444842986, 23776.09707474313, 60659.385847832214, 3923.2458143689064, 46866.186462768506, 75588.60378072181]",0.06279780704137848,0.019651791264511522,"[0.06012413690209363, 0.05373003170123406, 0.05463978340886292, 0.059282151560339294, 0.0497181422330716, 0.06245304057990007, 0.059325780987291285, 0.11611833363001209, 0.04359666108360375, 0.08413739904109378, 0.04765041632766088]"
23.83,30.636363636363637,17.494414693111214,"[53, 19, 12, 44, 31, 33, 24, 27, 10, 18, 66]",122.51355992789755,50.45235276351811,"[187.49980402713544, 70.72870245504721, 56.81292710767398, 154.59369138877548, 162.27411431000013, 113.29334415148605, 92.90173788501454, 175.31668775021714, 56.671523734400544, 86.08085113579784, 191.47577526132469]",42169.13359090957,29674.71779935648,"[100964.0696552241, 12833.483697861207, 9165.189333962251, 60309.26370714332, 63663.1483275517, 37121.78137369749, 24050.741416677345, 52540.666708312325, 6784.971129014716, 19039.05645117716, 77388.09769938361]",0.06425274915116502,0.019381323304757045,"[0.055281789763097854, 0.06291020000809645, 0.0601946710477255, 0.05941024597423607, 0.053536967787194634, 0.06704461280406429, 0.05743027941925312, 0.11680155794292468, 0.039245358121641545, 0.08218091670729234, 0.05274364108728874]"
24.0,32.36363636363637,18.040358795061298,"[53, 21, 13, 44, 35, 34, 26, 29, 11, 19, 71]",128.14734560220802,46.68533099711146,"[141.6497497338395, 75.1623158602374, 62.17496715197773, 165.5307943135936, 188.69857700147892, 115.26878368862579, 147.27545410391383, 182.35541045934, 66.19920449823795, 86.71673837861361, 178.58880643442996]",44043.52820640794,25014.256579919205,"[60740.12208561912, 14145.631750680699, 11047.762765125186, 63711.63832068243, 71396.70879070564, 37716.718686006556, 55697.476893507475, 63344.74485052948, 8687.750329855124, 20368.360673758365, 77621.89512401722]",0.0671504520913469,0.0170461369350888,"[0.0619897729651014, 0.06501178113890047, 0.05650854671752072, 0.055643057995938806, 0.05107870247140104, 0.06331732644657347, 0.05624303398131232, 0.10952550998054947, 0.08592875555808291, 0.0804659226732436, 0.05294256307619186]"
24.17,34.0,18.477012745571184,"[55, 21, 14, 46, 40, 35, 27, 30, 13, 20, 73]",138.91408557679418,51.46225673242569,"[145.9338444187439, 75.68117993820742, 63.243323640939536, 163.71480096814037, 128.62831791734854, 116.30353128712859, 141.35300684377108, 182.46911706636018, 252.41832150878383, 89.47187274947291, 168.8376250058394]",47304.69266442076,24638.531259241707,"[61835.63293593899, 14340.324985439089, 11596.901722682509, 64091.518733636985, 42547.86992845722, 38302.8696852213, 56306.72884653405, 63991.097006293436, 45803.93051654902, 22069.0836450633, 99465.6613028125]",0.06784089967465795,0.01514456741149487,"[0.0585116425620959, 0.05925289151190748, 0.06945999363693361, 0.06039939492704751, 0.047764303542561025, 0.07100845362291655, 0.05726719011325678, 0.10479871730320836, 0.06379678888834758, 0.08770517543430882, 0.06628534487865387]"
24.33,34.81818181818182,19.296726052976872,"[56, 21, 14, 48, 40, 36, 26, 32, 13, 21, 76]",131.80242523107515,44.87280886363817,"[155.8057683080126, 75.72560814114182, 63.74422825192857, 164.40729016805534, 128.90704091992544, 116.69783354565875, 94.83098283622954, 202.21671660781433, 178.5160820131305, 89.90440593726606, 179.07072081266372]",44938.39970766101,25903.505756848186,"[66425.48013674225, 14431.310371152093, 11738.354674078702, 64545.04788514061, 42805.44236577144, 38517.083352087226, 25509.552371826758, 67827.11599003416, 40145.58077210225, 22435.687944279653, 99941.74092105603]",0.06292759433542643,0.01606247719768477,"[0.057230987529602054, 0.049189203735689205, 0.0639324423120686, 0.05735283794121312, 0.05378767591437452, 0.0640749778476605, 0.05288419254334207, 0.10424946345459438, 0.04713564536667783, 0.0835491434552391, 0.05881696758922924]"
24.5,36.09090909090909,20.520499728098947,"[57, 23, 14, 47, 40, 39, 26, 35, 13, 21, 82]",127.31628275462985,39.33326449276139,"[154.12228550660154, 159.2766987405403, 64.07039574592594, 159.52602389769004, 129.4704052124878, 120.4431530479316, 95.12507759653397, 179.78026619595045, 72.44881561378553, 92.34972631648958, 173.8662624269918]",46095.36420804773,28146.17174955515,"[68117.43872546894, 36638.09637194238, 11828.325185674752, 65206.427087831464, 43265.160764427885, 40408.38163600351, 25757.163977742657, 78084.9448057207, 10997.082488623248, 22788.80412299178, 103957.18112209767]",0.06495116366094784,0.015133646274243871,"[0.05573932606413713, 0.04878151463775721, 0.07130548237385269, 0.05667136863920654, 0.05702987383692646, 0.06397464838064092, 0.05470241846373307, 0.09582809952516229, 0.05738189038506698, 0.09408498889907245, 0.05896318906487056]"
24.67,37.72727272727273,21.804086355960475,"[63, 23, 13, 49, 44, 41, 26, 36, 13, 23, 84]",132.83428568636452,39.48175013564318,"[151.77016983647948, 159.94046955358885, 59.51236841271049, 157.11296744614356, 128.97299486014248, 123.08527419313596, 95.02949943664501, 179.222884240014, 70.71681703448006, 161.65314293316868, 174.16055460350123]",49278.47143290555,27621.37246704532,"[71095.86428636029, 37003.364263346404, 9893.53294770564, 66806.55798100332, 45274.4558028248, 41953.236158595275, 25617.225494632257, 77762.69281467842, 11110.359709954428, 51451.032352603484, 104094.86395025667]",0.06260914359258635,0.012308991178987433,"[0.057216393421282895, 0.049388407084715036, 0.06123166578022331, 0.05705121461487743, 0.05660701296041755, 0.05617077159867674, 0.05581748570995417, 0.08880093893321259, 0.06024881010089295, 0.08714340993565159, 0.05902446937854553]"
24.83,39.18181818181818,23.310161654601117,"[65, 24, 14, 51, 46, 42, 26, 37, 13, 23, 90]",128.08048481373623,42.97290959080889,"[159.41845966987094, 76.0603114905525, 64.42331228937982, 157.40309715662653, 130.31289118282334, 124.64996014234893, 95.27064026226608, 191.37300723501792, 71.9071367303222, 161.81257830596422, 176.25393848592634]",48567.42218966412,29650.80652252768,"[73947.24178324567, 16310.365935480755, 11918.507830311457, 67119.32033620085, 46354.52888106369, 43752.661373107025, 25776.878374199165, 78232.29296606421, 11602.61121063922, 51530.85780376761, 107696.37759222566]",0.06465888748604652,0.013602516997882706,"[0.061140705394205186, 0.04635983083785183, 0.05792692402021836, 0.05690577462041082, 0.06693587320866753, 0.05717154249335878, 0.0541790866596209, 0.0916614251235552, 0.07347939781881252, 0.08813702713416575, 0.057350175035644976]"
