t,inf-count-mean,inf-count-std,inf-count-list,radial-velocity-mean(um/min),radial-velocity-std(um/min),radial-velocity-list(um/min)
25.17,29.0,16.2234398325386,"[14, 55, 38, 32, 12, 23]",0.13809086414562843,0.03782997501235168,"[0.1023679270116554, 0.15618959478474978, 0.1847836432768924, 0.1831104341942138, 0.1050120175615062, 0.09708156804475301]"
25.33,32.166666666666664,18.11537100549328,"[14, 60, 41, 40, 14, 24]",0.13634310194197755,0.028389278533676728,"[0.12706186383496781, 0.15585462758755506, 0.16922423766070507, 0.16359572904389313, 0.09526865626766826, 0.10705349725707607]"
25.5,34.5,20.7533129885327,"[14, 67, 42, 45, 14, 25]",0.13708688133227948,0.024082380686115824,"[0.11766063080205243, 0.15076028451574952, 0.1737689677777649, 0.15537085683796853, 0.10897486958491587, 0.1159856784752256]"
25.67,37.5,23.704429965725815,"[14, 77, 43, 46, 14, 31]",0.13909078963794178,0.021870187850224012,"[0.11359580731037093, 0.1476820082711236, 0.17342679270775094, 0.15717069324264304, 0.12352872902441685, 0.11914070727134544]"
25.83,39.833333333333336,25.18266599601136,"[16, 82, 45, 50, 15, 31]",0.14340112826589985,0.01902760338076081,"[0.11923039050380242, 0.1645270282636416, 0.16716948682771154, 0.152562039156981, 0.1332741560324974, 0.12364366881076512]"
26.0,42.166666666666664,25.341007609538078,"[18, 82, 51, 54, 15, 33]",0.14588382435214545,0.022820753938262314,"[0.1065790289811311, 0.17267123192599038, 0.17019091381371418, 0.1423647444057164, 0.15235201773979382, 0.13114500924652683]"
26.17,44.166666666666664,26.141282804534796,"[18, 85, 53, 57, 17, 35]",0.1529281715031484,0.022130277008315838,"[0.10534395198081511, 0.1707541067029174, 0.16495840433632195, 0.15653274447245885, 0.16702614833833312, 0.15295367318804412]"
26.33,47.833333333333336,30.707762319431,"[19, 97, 55, 64, 16, 36]",0.15313577594292085,0.019162116619032808,"[0.11062600319679639, 0.16590535095982248, 0.1580936371249364, 0.16275731404257818, 0.1613863121684146, 0.16004603816497695]"
26.5,49.833333333333336,30.9284119648369,"[22, 98, 57, 69, 17, 36]",0.15390688430664842,0.023397705211642323,"[0.10336931242986472, 0.16728506313666175, 0.17144607400321504, 0.15342946587245573, 0.1593793696668937, 0.16853202073079968]"
26.67,53.333333333333336,33.41057716751787,"[23, 107, 59, 72, 18, 41]",0.1545798168565736,0.017856840202316666,"[0.11712987252416265, 0.16669057125430992, 0.16223328525642783, 0.1718692972299787, 0.1529818951459444, 0.15657397972861797]"
26.83,56.666666666666664,35.41562743573332,"[22, 112, 62, 79, 20, 45]",0.15225208700000165,0.023534966974651284,"[0.10278787865225911, 0.16158835242278907, 0.17716002485531288, 0.16249291239412816, 0.15983177877172816, 0.14965157490379258]"
27.0,60.166666666666664,38.36882415016997,"[22, 118, 65, 88, 20, 48]",0.1587583624188008,0.02080426806214914,"[0.11669394142493916, 0.167322964540827, 0.18358955050185893, 0.1575133257243177, 0.1703053052294057, 0.1571250870914565]"
27.17,62.166666666666664,40.97519574897314,"[22, 125, 67, 91, 20, 48]",0.15542058559068153,0.022071403360811353,"[0.11467555817018409, 0.15800251277968907, 0.18930910509406887, 0.16118832824366036, 0.16072561989517736, 0.1486223893613093]"
27.33,65.0,40.93897898091744,"[22, 124, 75, 96, 23, 50]",0.15323366037228692,0.02054557322796793,"[0.11295786818775769, 0.1657553803495088, 0.17923890229397094, 0.16070280057067327, 0.14873507127656338, 0.15201193955524755]"
